SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 3250, process 70, exits the cpu.
At time 3250, process 70, exits the SYSTEM.
At time 3250, process 71, arrives at cpu.
At time 3261, process 71, exits the cpu.
At time 3268, process 72, arrival.
At time 3268, process 72, arrives at cpu.
At time 3294, process 68, exits the disk1.
At time 3299, process 73, arrival.
At time 3316, process 72, exits the cpu.
At time 3316, process 72, exits the SYSTEM.
At time 3316, process 68, arrives at cpu.
At time 3327, process 74, arrival.
At time 3359, process 68, exits the cpu.
At time 3359, process 68, exits the SYSTEM.
At time 3359, process 73, arrives at cpu.
At time 3368, process 73, exits the cpu.
At time 3368, process 73, arrives at disk1.
At time 3368, process 74, arrives at cpu.
At time 3379, process 75, arrival.
At time 3392, process 74, exits the cpu.
At time 3392, process 74, arrives at disk2.
At time 3392, process 75, arrives at cpu.
At time 3408, process 75, exits the cpu.
At time 3408, process 75, exits the SYSTEM.
At time 3414, process 20, exits the network.
At time 3414, process 20, arrives at cpu.
At time 3414, process 13, arrives at network.
At time 3434, process 20, exits the cpu.
At time 3434, process 20, exits the SYSTEM.
At time 3445, process 76, arrival.
At time 3445, process 76, arrives at cpu.
At time 3469, process 77, arrival.
At time 3491, process 76, exits the cpu.
At time 3491, process 76, exits the SYSTEM.
At time 3491, process 77, arrives at cpu.
At time 3518, process 73, exits the disk1.
At time 3531, process 78, arrival.
At time 3536, process 77, exits the cpu.
At time 3536, process 77, exits the SYSTEM.
At time 3536, process 73, arrives at cpu.
At time 3547, process 74, exits the disk2.
At time 3553, process 79, arrival.
At time 3582, process 73, exits the cpu.
At time 3582, process 73, exits the SYSTEM.
At time 3582, process 78, arrives at cpu.
At time 3595, process 80, arrival.
At time 3599, process 78, exits the cpu.
At time 3599, process 74, arrives at cpu.
At time 3631, process 74, exits the cpu.
At time 3631, process 79, arrives at cpu.
At time 3668, process 79, exits the cpu.
At time 3668, process 79, exits the SYSTEM.
At time 3668, process 80, arrives at cpu.
At time 3669, process 81, arrival.
At time 3689, process 80, exits the cpu.
At time 3689, process 81, arrives at cpu.
At time 3696, process 81, exits the cpu.
At time 3696, process 81, exits the SYSTEM.
At time 3715, process 13, exits the network.
At time 3715, process 13, arrives at cpu.
At time 3715, process 21, arrives at network.
At time 3730, process 13, exits the cpu.
At time 3730, process 13, exits the SYSTEM.
At time 3746, process 82, arrival.
At time 3746, process 82, arrives at cpu.
At time 3789, process 82, exits the cpu.
At time 3808, process 83, arrival.
At time 3808, process 83, arrives at cpu.
At time 3830, process 84, arrival.
At time 3850, process 83, exits the cpu.
At time 3850, process 83, exits the SYSTEM.
At time 3850, process 84, arrives at cpu.
At time 3867, process 85, arrival.
At time 3881, process 84, exits the cpu.
At time 3881, process 84, arrives at disk1.
At time 3881, process 85, arrives at cpu.
At time 3909, process 85, exits the cpu.
At time 3909, process 85, exits the SYSTEM.
At time 3921, process 86, arrival.
At time 3921, process 86, arrives at cpu.
At time 3966, process 87, arrival.
At time 3970, process 86, exits the cpu.
At time 3970, process 87, arrives at cpu.
At time 3985, process 87, exits the cpu.
At time 3985, process 87, exits the SYSTEM.
At time 4009, process 88, arrival.
At time 4009, process 88, arrives at cpu.
At time 4026, process 88, exits the cpu.
At time 4037, process 84, exits the disk1.
At time 4037, process 84, arrives at cpu.
At time 4056, process 84, exits the cpu.
At time 4056, process 84, exits the SYSTEM.
At time 4059, process 89, arrival.
At time 4059, process 89, arrives at cpu.
At time 4085, process 89, exits the cpu.
At time 4085, process 89, exits the SYSTEM.
At time 4137, process 90, arrival.
